tradingSymbol,amc,fund,fundLowerCase,purchaseAllowed,redemptionAllowed,minPurchaseAmt,purchaseAmtMulti,minAdditionalPurchaseAmt,minRedemptionQty,redemptionQtyMulti,dividendType,formattedDividendType,dividendInterval,dividend,formattedDividendTypeToIDCW,lastDividendDate,lastDividendPercent,scheme,subScheme,plan,settlementType,lastPrice,lastPriceDate,changePercent,launchDate,exitLoad,exitLoadSlab,expenseRatio,oneYearPercent,twoYearPercent,threeYearPercent,fourYearPercent,fiveYearPercent,amcSipFlag,aum,manager,lockIn,risk,fileNamePath,fundPrimaryDetail,type,name,full_name,isin,haircut,value
INF082J01135,QUANTUMMUTUALFUND_MF,Quantum Liquid Fund,quantum liquid fund,FALSE,FALSE,100000,1,500,50,0.001,R,Dividend reinvest,Daily,dividend reinvest,Dividend reinvest,24-12-2022,0.017,Debt,Liquid,Direct,T1,10.009,23-12-2022,0,01-04-2017,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.15,-0.0459,0.015,-0.0013,-0.001,0.0068,FALSE,5747400000,Mr. Pankaj Pathak,0,1,Coins_SVGs-229.svg,inf082j01135 quantum liquid fund debt liquid dividend reinvest,mf,QMFLFDDR,QUANTUM LIQUID FUND - DIRECT PLAN DAILY IDCW REINVESTMENT OPTION,INF082J01135,10,90
INF082J01143,QUANTUMMUTUALFUND_MF,Quantum Liquid Fund,quantum liquid fund,TRUE,TRUE,10000,1,500,50,0.001,P,Dividend monthly payout,MONTHLY,dividend monthly payout,IDCW Monthly,25-11-2022,0.506,Debt,Liquid,Direct,T1,10.0602,23-12-2022,0.0179,01-04-2017,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.15,0.2741,0.1489,0.0524,0.0089,0.0326,TRUE,5747400000,Mr. Pankaj Pathak,0,1,Coins_SVGs-229.svg,inf082j01143 quantum liquid fund debt liquid dividend monthly payout,mf,QMFLFMDP,QUANTUM LIQUID FUND - DIRECT PLAN MONTHLY IDCW PAYOUT OPTION,INF082J01143,10,90
INF082J01309,QUANTUMMUTUALFUND_MF,Quantum Liquid Fund,quantum liquid fund,FALSE,TRUE,5000,1,500,50,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Regular,T1,29.6195,23-12-2022,0.0169,01-04-2017,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.25,4.5174,3.7995,3.7371,4.3193,4.7576,FALSE,5747400000,Mr. Pankaj Pathak,0,1,Coins_SVGs-229.svg,inf082j01309 quantum liquid fund debt liquid growth,mf,QMFLFRGG,QUANTUM LIQUID FUND - REGULAR PLAN GROWTH OPTION,INF082J01309,10,90
INF090I01BB1,FRANKLINTEMPLETON,Franklin India Liquid Fund,franklin india liquid fund,FALSE,TRUE,10000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Regular,T1,5046.7495,23-12-2022,0.0159,29-04-1998,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.86,4.0804,3.3204,3.4405,4.1254,4.6418,FALSE,14827400000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01bb1 franklin india liquid fund debt liquid growth,mf,FILFGP,FRANKLIN INDIA LIQUID FUND - REGULAR PLAN - GROWTH,INF090I01BB1,10,90
INF090I01BG0,FRANKLINTEMPLETON,Franklin India Liquid Fund,franklin india liquid fund,FALSE,TRUE,10000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Regular,T1,3299.6461,23-12-2022,0.0177,02-09-2005,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.21,4.7665,4.005,4.1309,4.8249,5.3477,FALSE,14827400000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01bg0 franklin india liquid fund debt liquid growth,mf,FILFSIPGP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN-GROWTH,INF090I01BG0,10,90
INF090I01BM8,FRANKLINTEMPLETON,Franklin India Liquid Fund,franklin india liquid fund,FALSE,TRUE,10000,1,1000,0.001,0.001,P,Dividend weekly payout,WEEKLY,dividend weekly payout,IDCW Weekly,18-12-2022,0.12,Debt,Liquid,Regular,T1,1022.86,23-12-2022,0.0177,02-09-2005,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.21,0.0553,0.033,0.0519,0.0425,0.0164,FALSE,14827400000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01bm8 franklin india liquid fund debt liquid dividend weekly payout,mf,FILFSIPWDP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN WEEKLY IDCW PAYOUT,INF090I01BM8,10,90
INF090I01BZ0,FRANKLINTEMPLETON,Franklin India Savings Fund - Retail Plan,franklin india savings fund - retail plan,FALSE,TRUE,10000,1,1000,0.001,0.001,P,Dividend interim payout,INTERIM,dividend interim payout,IDCW Interim,17-03-2022,0.75,Debt,Money Market,Regular,T1,10.4829,23-12-2022,0.0258,11-02-2002,0,Nil,0.29,0.6336,-0.5525,-1.1247,-1.2808,-0.8137,FALSE,9445700000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01bz0 franklin india savings fund - retail plan debt money market dividend interim payout,mf,FLDP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION QUARTERLY IDCW PAYOUT,INF090I01BZ0,10,90
INF090I01CA1,FRANKLINTEMPLETON,Franklin India Savings Fund - Retail Plan.,franklin india savings fund - retail plan.,FALSE,TRUE,10000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Money Market,Regular,T1,41.6893,23-12-2022,0.0266,11-02-2002,0,Nil,0.32,4.3453,3.9556,4.644,5.6263,5.9702,FALSE,9445700000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01ca1 franklin india savings fund - retail plan. debt money market growth,mf,FLGP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION-GROWTH,INF090I01CA1,10,90
INF090I01GV8,FRANKLINTEMPLETON,Franklin India Savings Fund,franklin india savings fund,TRUE,TRUE,10000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Money Market,Direct,T1,42.904,23-12-2022,0.027,01-01-2013,0,Nil,0.13,4.5172,4.1248,4.8111,5.7916,6.1473,TRUE,9445700000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01gv8 franklin india savings fund debt money market growth,mf,FLDGP,FRANKLIN INDIA SAVINGS FUND RETAIL OPTION - DIRECT GROWTH,INF090I01GV8,10,90
INF090I01JV2,FRANKLINTEMPLETON,Franklin India Liquid Fund,franklin india liquid fund,TRUE,TRUE,10000,1,1000,0.001,0.001,G,Growth,null,growth,Growth,,0,Debt,Liquid,Direct,T1,3321.0665,23-12-2022,0.0179,01-01-2013,0.007,If redeemed/switched out within 1 day from the date of allotment: 0.0070%If redemption/switch out within 2 days from the date of allotment: 0.0065%If redemption/switch out within 3 days from the date of allotment: 0.0060%If redemption/switch out within 4 days from the date of allotment: 0.0055%If redemption/switch out within 5 days from the date of allotment: 0.0050%If redemption/switch out within 6 days from the date of allotment: 0.0045%If redemption/switch out 7 days onwards from the date of allotment: Nil.,0.13,4.8458,4.0842,4.211,4.901,5.4215,TRUE,14827400000,Mr. Umesh Sharma,0,2,Coins_SVGs-75.svg,inf090i01jv2 franklin india liquid fund debt liquid growth,mf,FILFDSIPGP,FRANKLIN INDIA LIQUID FUND - SUPER INSTITUTIONAL PLAN - DIRECT -GROWTH,INF090I01JV2,10,90
