type,name,full_name,isin,haircut,value
etf,GILT5YBEES,,INF204KC1030,12.5,87.5
etf,ICICILIQ,,INF109KC1KT9,8,92
etf,LICNETFGSC,,INF767K01MV5,8,92
etf,LIQUIDBEES,,INF732E01037,8,92
etf,LIQUIDETF,,INF740KA1EU7,8,92
etf,LTGILTBEES,,INF204KB1882,8,92
etf,MOGSEC,,INF247L01AK4,12.5,87.5
etf,SETF10GILT,,INF200KA1JT1,12.5,87.5
mf,CPD1R,UTI LIQUID CASH PLAN-DIRECT DAILY DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01XP8,10,90
mf,CPD2G,UTI LIQUID CASH PLAN-DIRECT GROWTH,INF789F01XQ6,10,90
mf,CPD6D,UTI LIQUID CASH PLAN-DIRECT QUARTERLY DIVIDEND PLAN-IDCW PAYOUT,INF789FA1K22,10,90
mf,CPD6R,UTI LIQUID CASH PLAN-DIRECT QUARTERLY DIVIDEND PLAN-IDCW REINVESTMENT,INF789FA1K30,10,90
mf,CPFTD,UTI LIQUID CASH PLAN-REGULAR FORTNIGHTLY DIVIDEND PLAN-IDCW PAYOUT,INF789FA1J09,10,90
mf,CPFTR,UTI LIQUID CASH PLAN-REGULAR FORTNIGHTLY DIVIDEND PLAN-IDCW REINVESTMENT,INF789FA1J17,10,90
mf,IPRU8095,ICICI PRUDENTIAL LIQUID FUND - DIRECT PLAN - DAILY IDCW REINVESTMENT,INF109K01Q15,10,90
mf,IPRU8096,ICICI PRUDENTIAL LIQUID FUND - DIRECT PLAN - GROWTH,INF109K01Q49,10,90
mf,IPRU8098,ICICI PRUDENTIAL LIQUID FUND - DIRECT PLAN - WEEKLY IDCW REINVESTMENT,INF109K01Q98,10,90
mf,IPRU8101,ICICI PRUDENTIAL MONEY MARKET FUND - DIRECT PLAN - GROWTH,INF109K01R14,10,90
mf,IPRU8103,ICICI PRUDENTIAL MONEY MARKET FUND - DIRECT PLAN - WEEKLY IDCW REINVESTMENT,INF109K01R89,10,90
mf,LNT125,L&T MONEY MARKET FUND - DAILY IDCW REINVESTENT PLAN,INF917K01AY5,10,90
mf,MMD1R,UTI MONEY MARKET FUND-DIRECT DAILY DIVIDEND PLAN-IDCW REINVESTMENT,INF789F01XU8,10,90
mf,MMD2G,UTI MONEY MARKET FUND-DIRECT GROWTH,INF789F01XV6,10,90
mf,MMD6D,UTI MONEY MARKET FUND-DIRECT QUARTERLY DIVIDEND PLAN-IDCW PAYOUT,INF789FA1M61,10,90
mf,MMD6R,UTI MONEY MARKET FUND-DIRECT QUARTERLY DIVIDEND PLAN-IDCW REINVESTMENT,INF789FA1M79,10,90
mf,QMFLFDDR,QUANTUM LIQUID FUND - DIRECT PLAN DAILY IDCW REINVESTMENT OPTION,INF082J01135,10,90
mf,QMFLFGPG,QUANTUM LIQUID FUND - DIRECT PLAN GROWTH OPTION,INF082J01127,10,90
mf,QMFLFMDP,QUANTUM LIQUID FUND - DIRECT PLAN MONTHLY IDCW PAYOUT OPTION,INF082J01143,10,90
mf,QMFLFMDR,QUANTUM LIQUID FUND - DIRECT PLAN MONTHLY IDCW REINVESTMENT OPTION,INF082J01200,10,90
mf,RELGILDPDM,NIPPON INDIA GILT SECURITIES FUND DIRECT PLAN DEFINED MATURITY DATE OPTION GROWTH,INF204K01E88,10,90
mf,SODGGR,SUNDARAM OVERNIGHT FUND DIRECT GROWTH,INF903JA1HG5,10,90
mf,SORGGR,SUNDARAM OVERNIGHT FUND REGULAR GROWTH,INF903JA1GZ7,10,90
mf,153L,L&T LIQUID FUND - REGULAR WEEKLY IDCW PAYOUT,INF917K01JG3,10,90
mf,154L,L&T LIQUID FUND - REGULAR GROWTH,INF917K01JH1,10,90
mf,154LD,L&T LIQUID FUND DIRECT PLAN - GROWTH,INF917K01HF9,10,90
mf,157D,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - DIRECT PLAN - MONTHLY IDCW PAYOUT,INF209KB1ZL4,10,90
mf,157G,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - REGULAR PLAN - GROWTH,INF209KB1ZC3,10,90
mf,157WD,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - REGULAR PLAN - WEEKLY IDCW REINVESTMENT,INF209KB1ZE9,10,90
mf,157Z,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - DIRECT PLAN - GROWTH,INF209KB1ZH2,10,90
mf,54L,L&T LIQUID FUND - REGULAR DAILY IDCW REINVESTENT PLAN,INF917K01JB4,10,90
mf,AXISCFDD,AXIS LIQUID FUND - REGULAR DAILY IDCW REINVESTMENT,INF846K01420,10,90
mf,AXISCFDG,AXIS LIQUID FUND - DIRECT GROWTH,INF846K01CX4,10,90
mf,AXISCFDM,AXIS LIQUID FUND - DIRECT PLAN - MONTHLY IDCW PAYOUT,INF846K01CY2,10,90
mf,AXISCFDM,AXIS LIQUID FUND - DIRECT PLAN - MONTHLY IDCW REINVESTMENT,INF846K01CZ9,10,90
mf,AXISCFDP,AXIS LIQUID FUND - REGULAR MONTHLY IDCW PAYOUT,INF846K01453,10,90
mf,AXISCFDP,AXIS LIQUID FUND - REGULAR MONTHLY IDCW REINVESTMENT,INF846K01461,10,90
mf,AXISCFDR,AXIS LIQUID FUND - DIRECT PLAN - DAILY IDCW REINVESTMENT,INF846K01DA0,10,90
mf,AXISCFDW,AXIS LIQUID FUND - DIRECT PLAN - WEEKLY IDCW PAYOUT,INF846K01DB8,10,90
